Model,Quantization,Avg Response Time (s),Tokens/sec,Quality Score,GPU Memory (MB),Total Tokens,Expected VRAM,Efficiency (tok/s per GB),Quality-Speed Balance
DeepSeek Coder 6.7B (Q4_0),Q4_0,14.67309741973877,13.00728383363659,0.4699999999999999,6099,954.2857142857143,3.8GB,2.1326912335852746,0.6113423401809197
DeepSeek Coder 6.7B (Q8_0),Q8_0,22.804686975479125,7.903137263947682,0.51,9217,901.1428571428571,7.2GB,0.8574522365137985,0.4030600004613317
Qwen2.5-7B (Default),Default,13.393389749526978,22.663632046814552,0.55,14074,1517.7142857142858,4-6GB,1.61031917342721,1.2464997625748004
